tournament_id,name,source_tournament_id,surface,level,year,total_matches,category,manual_flag
566,Acapulco challenger,acapulco-challenger,hard,challenger,2023,49,ch100,VERIFICAR
502,Adelaide 2,adelaide-2,hard,main,2023,39,atp250,investigado
641,Amersfoort challenger,amersfoort-challenger,clay,challenger,2023,49,ch100,investigado
542,Antalya challenger,antalya-challenger,clay,challenger,2023,49,ch100,investigado
724,Antwerp,antwerp,indoor,main,2023,39,atp250,investigado
709,Astana,astana,indoor,main,2023,39,atp250,investigado
572,Banja Luka,banja-luka,clay,main,2023,39,atp250,investigado
670,Banja Luka challenger,banja-luka-challenger,clay,challenger,2023,49,ch100,investigado
550,Biel challenger,biel-challenger,indoor,challenger,2023,49,ch100,investigado
619,Blois challenger,blois-challenger,clay,challenger,2023,49,ch100,investigado
705,Bogotá 3 challenger,bogota-3-challenger,clay,challenger,2023,49,ch100,VERIFICAR
578,Buenos Aires 5 challenger,buenos-aires-5-challenger,clay,challenger,2023,49,ch50,VERIFICAR
514,Burnie challenger,burnie-challenger,hard,challenger,2023,49,ch100,investigado
743,Calgary challenger,calgary-challenger,indoor,challenger,2023,47,ch100,investigado
691,Cary 2 challenger,cary-2-challenger,hard,challenger,2023,49,ch100,investigado
707,Charleston challenger,charleston-challenger,hard,challenger,2023,49,ch100,investigado
584,Coquimbo challenger,coquimbo-challenger,clay,challenger,2023,48,ch50,investigado
750,Danderyd challenger,danderyd-challenger,indoor,challenger,2023,49,ch100,investigado
739,Ismaning challenger,ismaning-challenger,indoor,challenger,2023,49,ch100,investigado
631,Karlsruhe challenger,karlsruhe-challenger,clay,challenger,2023,49,ch100,investigado
551,Las Franquesas del Valles challenger,las-franquesas-del-valles-challenger,hard,challenger,2023,49,ch100,investigado
599,Lyon,lyon,clay,main,2023,39,atp250,investigado
720,Malaga challenger,malaga-challenger,hard,challenger,2023,49,ch100,investigado
759,Maspalomas challenger,maspalomas-challenger,clay,challenger,2023,49,ch100,investigado
625,Medellín challenger,medellin-challenger,clay,challenger,2023,49,ch50,investigado
668,Meerbusch challenger,meerbusch-challenger,clay,challenger,2023,49,ch100,investigado
533,Monterrey challenger,monterrey-challenger,hard,challenger,2023,49,ch100,investigado
644,Newport,newport,grass,main,2023,39,atp250,investigado
512,Ottignies-Louvain-la-Neuve challenger,ottignies-louvain-la-neuve-challenger,indoor,challenger,2023,49,ch100,investigado
614,Palmas del Mar challenger,palmas-del-mar-challenger,hard,challenger,2023,49,ch100,investigado
592,Prague 4 challenger,prague-4-challenger,clay,challenger,2023,49,ch100,VERIFICAR
679,Prague 5 challenger,prague-5-challenger,clay,challenger,2023,49,ch100,VERIFICAR
544,Puerto Vallarta challenger,puerto-vallarta-challenger,hard,challenger,2023,49,ch100,investigado
494,Pune,pune,hard,main,2023,39,atp250,investigado
534,Rome challenger,rome-challenger,indoor,challenger,2023,49,ch100,investigado
576,Roseto Degli Abruzzi 2 chall.,roseto-degli-abruzzi-2-chall,clay,main,2023,49,ch100,investigado
535,Rovereto challenger,rovereto-challenger,indoor,challenger,2023,49,ch100,investigado
653,Salinas challenger,salinas-challenger,hard,challenger,2023,47,ch100,investigado
638,Salzburg challenger,salzburg-challenger,clay,challenger,2023,47,ch100,investigado
639,San Benedetto challenger,san-benedetto-challenger,clay,challenger,2023,49,ch100,investigado
558,San Remo challenger,san-remo-challenger,clay,challenger,2023,49,ch100,investigado
727,Santa Fe 2 challenger,santa-fe-2-challenger,clay,challenger,2023,49,ch50,investigado
669,Santo Domingo challenger,santo-domingo-challenger,clay,challenger,2023,45,ch100,investigado
728,Shenzhen 3 challenger,shenzhen-3-challenger,hard,challenger,2023,48,ch100,VERIFICAR
699,Sibiu challenger,sibiu-challenger,clay,challenger,2023,49,ch100,investigado
672,Stanford challenger,stanford-challenger,hard,challenger,2023,47,ch100,investigado
607,Surbiton challenger,surbiton-challenger,grass,challenger,2023,49,ch100,investigado
547,Szekesfehervar challenger,szekesfehervar-challenger,clay,challenger,2023,49,ch50,investigado
521,Tenerife 3 challenger,tenerife-3-challenger,hard,challenger,2023,49,ch100,investigado
603,Troisdorf challenger,troisdorf-challenger,clay,challenger,2023,49,ch100,investigado
499,UK Pro Series,uk-pro-series,indoor,main,2023,228,other,VERIFICAR
655,Verona challenger,verona-challenger,clay,challenger,2023,49,ch100,investigado
522,Vilnius 2 challenger,vilnius-2-challenger,indoor,challenger,2023,49,ch100,investigado
548,Vina del Mar challenger,vina-del-mar-challenger,clay,challenger,2023,49,ch100,investigado
541,Waco challenger,waco-challenger,hard,challenger,2023,49,ch100,investigado
702,Zhuhai,zhuhai,hard,main,2023,39,atp250,investigado
858,Acapulco challenger,acapulco-challenger,hard,challenger,2024,49,ch100,investigado
926,Amersfoort challenger,amersfoort-challenger,clay,challenger,2024,49,ch100,investigado
1004,Antwerp,antwerp,indoor,main,2024,39,atp250,investigado
932,Atlanta,atlanta,hard,main,2024,39,atp250,investigado
840,Barcelona challenger,barcelona-challenger,clay,challenger,2024,49,ch100,investigado
1025,Belgrade,belgrade,indoor,main,2024,39,atp250,investigado
907,Blois challenger,blois-challenger,indoor,challenger,2024,49,ch100,VERIFICAR
776,Buenos Aires 5 challenger,buenos-aires-5-challenger,clay,challenger,2024,49,ch50,VERIFICAR
795,Burnie 2 challenger,burnie-2-challenger,hard,challenger,2024,49,ch100,investigado
789,Burnie challenger,burnie-challenger,hard,challenger,2024,49,ch100,investigado
1005,Calgary challenger,calgary-challenger,indoor,challenger,2024,49,ch100,investigado
985,Charleston challenger,charleston-challenger,hard,challenger,2024,49,ch100,investigado
794,Cordoba,cordoba,clay,main,2024,39,atp250,investigado
971,Dobrich 2 challenger,dobrich-2-challenger,clay,challenger,2024,48,ch50,investigado
958,Dobrich challenger,dobrich-challenger,clay,challenger,2024,49,ch50,VERIFICAR
1001,Hangzhou challenger,hangzhou-challenger,hard,challenger,2024,49,ch100,investigado
910,Ibague challenger,ibague-challenger,clay,challenger,2024,47,ch50,investigado
785,Indian Wells 2 challenger,indian-wells-2-challenger,hard,challenger,2024,49,ch50,investigado
782,Indian Wells challenger,indian-wells-challenger,hard,challenger,2024,49,ch50,investigado
883,Kachreti challenger,kachreti-challenger,hard,challenger,2024,49,ch50,investigado
916,Karlsruhe challenger,karlsruhe-challenger,clay,challenger,2024,49,ch100,investigado
881,Lyon,lyon,clay,main,2024,39,atp250,investigado
1050,Macau Tennis Masters,macau-tennis-masters,indoor,main,2024,4,exhibition,investigado
1043,Manzanillo challenger,manzanillo-challenger,hard,challenger,2024,48,ch50,investigado
820,Netflix Slam,netflix-slam,indoor,main,2024,1,exhibition,investigado
930,Newport,newport,grass,main,2024,39,atp250,investigado
988,Nonthaburi 4 challenger,nonthaburi-4-challenger,hard,challenger,2024,49,ch100,investigado
940,Olympics - Paris,olympics-paris,clay,main,2024,64,olympics,VERIFICAR
787,Ottignies-Louvain-la-Neuve challenger,ottignies-louvain-la-neuve-challenger,indoor,challenger,2024,49,ch100,investigado
1038,Puerto Vallarta challenger,puerto-vallarta-challenger,hard,challenger,2024,48,ch50,investigado
786,Punta del Este challenger,punta-del-este-challenger,clay,challenger,2024,49,ch100,investigado
1010,Riyadh - exhibition,riyadh-exhibition,indoor,main,2024,6,exhibition,investigado
1039,Rovereto challenger,rovereto-challenger,indoor,challenger,2024,49,ch100,investigado
921,Salzburg challenger,salzburg-challenger,clay,challenger,2024,49,ch100,VERIFICAR
905,Santa Cruz De La Sierra challenger,santa-cruz-de-la-sierra-challenger,clay,challenger,2024,49,ch100,investigado
955,Santo Domingo challenger,santo-domingo-challenger,clay,challenger,2024,49,ch100,investigado
1040,Sao Paulo 7 challenger,sao-paulo-7-challenger,indoor,challenger,2024,49,ch100,VERIFICAR
864,Shenzhen 3 challenger,shenzhen-3-challenger,hard,challenger,2024,49,ch100,investigado
979,Sibiu challenger,sibiu-challenger,clay,challenger,2024,49,ch100,investigado
891,Surbiton challenger,surbiton-challenger,grass,challenger,2024,49,ch100,investigado
827,Szekesfehervar challenger,szekesfehervar-challenger,clay,challenger,2024,49,ch100,investigado
1017,Taipei 2 challenger,taipei-2-challenger,indoor,challenger,2024,49,ch100,investigado
819,Tenerife 3 challenger,tenerife-3-challenger,hard,challenger,2024,49,ch100,investigado
938,Verona challenger,verona-challenger,clay,challenger,2024,49,ch100,investigado
